Name,Address,PhoneNumber,Website,Email
Ikra Junior High School,"Ikra, Ikra Hazrapur, Abinashpur - 731121",-8159992475,,
Sirsitta Junior High School,"Shirshita, Abinashpur - 731121",-9734766388,,
Talibpur High School,"Panrui Kurmitha Road, Talibpur, Abinashpur - 731121",-9732100484,,
Batikar Abhedananda Vidyapi..,"Batikor, Abinashpur - 731121",-9932435794,,
Narasunda Primary School,"Narasonda, Abinashpur - 731121",-7479163777,,
Rasaipur Primary School,"Mongaldihi, Panrui Kurmitha Road, Abinashpur - 731121",-9434326705,,
Raghaipur Primary School,"Dhansaha, Abinashpur - 731121",-9933072213,,
Brahmrishi Mission School,"Hanuman Garh Road, Abohar - 152116",-16387823762,,
Simigo International School,"Sitto Road, Abohar - 152116, Near Srs Marriage Palace",-16376642993,http://www.simigointernationalschool.org http://www.simigo.edu.in,
Jhamkudevi Senior Secondary..,"Mehrajpur, Sitto, Abohar - 152118",-9259968540,http://www.jhamkudevischool.com/,jhamkudevischool@rediffmail.com
Delhi Public School,"Abohar - 152116, Sri Ganganagar National Highway-15 Near Ridhi Sidhi Colony",-8529857474,http://www.dps.edu.in,admissions@dps.edu.in
New Light Public Senior Sec..,"Nlps, 13-14-15th Lane, Mandi, Abohar - 152116, Near Nai Abadi",-16328550087,,
Shivalik Public Sen Sec Sch..,"Patel Nagar, Abohar - 152116",-9496237422,,
Kids Kingdom Convent School..,"Singhewala, Dabwali Malout Road, Abohar - 152118",-9414959196,http://www.kkcsedu.org/,lteskks@gmail.com
Pawan Computer,"Jandwala Hanumanta, Abohar - 152132, Bactur Bus",-9980500411,,
Parishkar Convent School,"Bahadur Khera, Abohar - 152116",-974562337,http://parishkar-convent-school.business.site/,.@.null
Govt. Model School Gidderan..,"Giddranwali, Abohar - 152116",-9077197288,http://www.pseb.ac.in/,punjabschool@gmail.com
G.d.senior Secondary Model ..,"New Suraj Nagari, New Suraj Nagari, Gd School Road, Abohar - 152116",-9848599836,,
New Anmol Model High School,"Ram Dev Nagar, Abohar - 152116, Near Dev Clg",-9454680799,,
Parishkar School,"Singar Nagar, Alambagh, Lucknow, Uttar Pradesh, Bahadur Khera, Abohar - 152117, Near Ramdev Mandir",-9716642157,,
Adharshila Playway Convent ..,"Sitto Road, Abohar - 152116, Near Railway Crosing",-16315080524,,
Mathematics Hub,"Sh 7a, Number 1 Ram Dev Nagar, Number 1, Ram Dev Nagar, Street, Abohar - 152116",-9685431369,http://https://mathematics-hub.business.site/,
Aspire International School,"Bhangalan Abohar Road, Gobindgarh, Abohar - 152117, Near Army Cantt",-9859624147,,
Comfy International Convent..,"Khui Khera, Fazilka, Sh 07, Fazilka, Fazilka, Fazilka Road, Abohar - 152116",-817770968,http://www.comfyschoolfzk.com/,comfyschool@gmail.com
Mini Public Sr. Sec. School,"Number, 10, Number 3, No.3, Nai Abadi, Street, Abohar - 152116",-988531684,,
Tagore Vidya Niketan School,"Abohar Sito Road, Abohar - 152117",-947220907,,
Khushdil Model High School,"St No. 2, Old Fazilka Road, Abohar - 152116",-9422441042,http://www.pseb.ac/,
Azad Hind Public School,"Bhagu, Bhagoo, Abohar - 152116",-9792804736,http://goggle.com/,
Navyug Senior Sen.School,"Indra Nagri, Abohar - 152116",-16399335103,,
Government High School,"Dhingawali, Dhigan Wali, Abohar - 152132",-9898950371,,
Adharshila Play Way Convent..,"Abohar, Fazilka, Sh 15, Fazilka, Fazilka, Fazilka Road, Abohar - 152116",-943059664,,
M.d.s Public School,"Uttam Vihar Colony, Nai Abadi, Abohar - 152116, Near ....",-9793441930,,
Little Leaders School,"Village Wahabwala, Wahabwala, Abohar - 152116, Opposite Punjab National Bank,Near Bus Stop",-9912064390,,
Government School,"Vpo Killianwali, Tehabohar, Sayad Wala Road, Abohar - 152116",-9584020594,,
ST. Alphonsa Convent School,"Street No.6, Model Town,Sito Road, Abohar - 152116, Under Construction Near Jaishree Estates,Sito Road",-16374725165,http://www.stalphonsaconventschool.com,contact@stalphonsaconventschool.com
M.R Public High School,"Jhurar Khera, Abohar - 152116",-9057443002,,
New Adarsh Public School,"Kularan, Abohar - 152116",-9760496583,,
Shri Om Parkash Avn Public ..,"Maujgarh, Maujgarh, Abohar - 152132, In Front Bus Stand",-1634579482,,
Gtb Playway School,"Street No 7, Abohar - 152116, Old Suraj Nagari",-9780059016,,
Kilkari International Schoo..,"Kilkari International School, No.3, ABOHAR - 152116, Nai Abadi, Chhoti Pouri",-163717061,,
Assumption Convent School,"Sito Guno Road, Abohar - 152116, Assumption Nagar",-1631418953,http://www.assumptionconventabohar.com,
Government  Higher Secondar..,"Lajpat Nagar, Abohar - 152116",-9826379525,,
Bhartiya High School,"2, Anand Nagri, 1, Nanak Nagri, Street, Abohar Mandi, Abohar - 152116",-9016072698,,
Springles Pre School,"New Suraj Nagari, Abohar - 152116",-9681219444,,
R S M Convent School,"Fazilka, Abohar - 152132",-8594620540,,
Navnirman Public School,"Fazilka, Abohar - 152116",-9854453132,http://navnirmanpublicschool.com/,
Little Pearls Play Way Scho..,"New Suraj Nagaristreet No4/5, Hanumangarh Road, Hanumangarh Roadpt Het Ram Sharma Marg, Abohar - 152116",-9873883806,,
Jhamku Devi Girls School,"Dhora Mehrajpur Abohar Distt, Abohar - 152116, Ferozepur Punjab",-16372424747,,
Vikas Adarsh Sen Sec School..,"Daulat Pura, Malout Road, Abohar - 152116",-16314530363,http://vikasschoolabohar.com/,
Swami Vikenanda Public Scho..,"Subash Nagar, Aboharmalout Link Road, Abohar - 152116",-9477679984,,
Maharishi Dayanand Public  ..,"Bhagoo, Abohar - 152116, Near Coproration Bank",-16334152675,,
Govt. Primary School,"Jhurar Khera, Abohar - 152116",-903157285,http://govtprimaryschool.com/,
Guru Kripa Public School,"Shergarh, Abohar - 152132",-9353817356,,
M R Model School,"Friends Coloney .Old Fazilka Road, Abohar - 152116",-8485010426,,
Giggles Playway Convent Sch..,"Number 10, Nai Abadi, Street, Abohar - 152116",-8475528361,http://gigglesplayschool.in/,Info@gigglesplayschool.in
Colonel Oxford School,"Km.7, Hanumangarh Road, Abohar - 152116, Abohar Punjab",-1634751176,,
Pachmi Vihar,"Kailash Nagar, Abohar Sito Road, Abohar - 152116",-9813301792,,
Icse Horizon,"2, Abohar Road, Gobindgarh, Abohar - 152117",-9849254102,,
Ranade Coaching Centre,"W 5 48/1291, New Twp, Civil Line, Abohar Hanumangarh Road, Abohar - 152116",-9850408777,,
Holy Heart High School,"Nai Abadi, Kandhwala Road, Abohar - 152116",-9496101072,,
Goverment High School,"Giddranwali, Fazilka, Nh 15, Fazilka, Fazilka, Fazilka Road, Abohar - 152116",-9497325927,,
Foreign Language School In ..,"Basant Avenue, Near Race Course Road, Abohar - 152116",-943766515,,
Sahid Udhman Singh Senior S..,"Khian, Fazilka, Sh 15, Fazilka, Fazilka, Fazilka Road, Abohar - 152116, Radha Swami Dara",-9771054705,,
Time Zone School English,"Abohar - 152116, Near Bus Stand",-9796557622,,
Kidzee Preschool,"Street Number 2 Mahaveer Colony, Abohar - 152116, Opposite Dr Naveen Sethi Hospital",-16326982234,,
K2s Career Zone,"No. 25, 1, 16 A Gaushala Road, 16 A Gaushala Roadstreet, Abohar Mandi, Abohar - 152116",-9860793310,,
Colonel Oxford School,"Bhangar Khera, Abohar - 152132",-16373641009,,
Indian Public School,"Shyam Vihar Colony, Main Bazar, Khairpur, Abohar - 152116",-9816303640,http://epunjabschool.gov.in/,
susivs Institute,"Jain Nagar, Jain Nagar, Mandi, Abohar - 152116, Bus Stand",-9710571370,,
Shiksha Carrier Point,"Abohar, 1, Nanak Nagri, Street, Abohar Mandi, Abohar - 152116",-955456169,,
Guru Nanak AV Senior Second..,"Patel Nagar, Abohar Mandi, Abohar - 152116",-9487454049,,
Deep Public Middle School,"Number 14, Nai Abadi Road, Nai Abadi Roadstreet, Abohar - 152116",-9474771980,,
Kaizen Academy,"32, Shyam Vihar, Shri Shyam Vihar, Gate No. 1, Abohar - 152116, Near Old Fazulka Road",-16390205071,,
SSD HIGH School,"Panj Peer Nagar, Abohar - 152116, panj peer dargah",-9484913584,,
Supreme Convent School,"Supre Convent School, Abohar Punjab, Abohar - 152116",-16310001001,,
The Oxford School Of Educat..,"Baja Khana Road Bhagta Bhai, Abohar Punjab, Abohar - 152116",-16323184425,,
Path Seeker,"Radha Soami Satsang Beas, Abohar 2, Military Station, Hindumalkot, Abohar - 152116",-9839413205,,
Alpine Institute Of School ..,"Sh14, Abohar - 152116, Panj Peer Nagar",-9415537520,,
Little Bells Convent School,"Abohar-Malout Road, Near Railway Bridge, Behind PWD Office, Abohar - 152116",-9630576820,,
TOOLS & TECHNOLOGY Pvt.ITI,"Fazilka, Abohar - 152116",-8848968426,,
Little Champs play Way conv..,"Ramsra, Ramsara, Abohar - 152116",-9268665333,,
Modren Public High School,"Azimgarh, Abohar - 152116, Above Azimgarh",-16327092154,,
Dreamland Public School,"Abohar to Fazilka Road, Abohar - 152116, District Fazikal, Near Purjmaraj Village",-9569378631,,
Sarkari School,"Rukanpura Urf Khui Khera, Abohar - 152116",-9891637350,,
Goverment School,"Dalmir Khera, Abohar - 152132",-8191739129,,
Govt. Upper Primary School,"2 G, Rajasthan, Abohar - 152132",-869890375,http://www.rajteachers.com/,rajteachers.com@gmail.com
Hardar Sheela Play Way Scho..,"Sitto Gunno, Abohar - 152116, near sito road",-9866844210,,
Janta Model High School Jan..,"Jandwala, Dr. Vimal Sharma Road, Jandwala Hanumanta, Abohar - 152132",-9717809356,,
Government Primary School G..,"Fazilka, Gumjal, Abohar - 152132",-9476617351,,
Govt. School,"Bhangalan, Bhangalan Abohar Road, Abohar - 152117",-9473497086,,
Saint Farid School,"Bhangalan, Abohar - 152117",-7090195430,,
St. Johns School,"Amthala, Abu Road Rajasthan, ABU Road - 307026",-29713764984,http://www.stjohnsabu.com/,
H G International School,"Manpur, Abu Road Bazar, Abu Road - 307026, Near Jain Temple",-29750461580,http://www.hgischool.co.in,
The Ummed International Sch..,"Khara, Abu Road - 307026",-8257703184,http://theummedinternationalschool.com/,theummedinternationalschool@gmail.com
Govt. College,"Keshargani, Abu Road Rajasthan, ABU Road - 307026",-29796662475,,
Govt. Sr. Sec School,"Mount Rd, Abu Road Rajasthan, ABU Road - 307026",-29799818620,,
Railway Senior Higher Secon..,"Mount Road, Abu Road Bazar, Abu Road - 307026, Near Railway Station",-29789391970,http://www.railwayschoolaburoad.in/index.php/CONTACT FORM/vgallery.php,globalwebserver@gmail.com
Royal Rajasthan Public Scho..,Abu Road - 307026,-7946942375,,
St Anselm School,"Riico Industrial Area Nh 14, Abu Road - 307026",-2971399240,http://www.abutimes.com/anslemsabr/,news@abutimes.com
Adarsh Vidya Mandir Boys Sc..,"Aabkari, Abu Road - 307026",-9675605897,http://www.adarshvidyamandir.org/,news@abutimes.com
St. Paol School,"Gandhi Nagar, Abu Road Rajasthan, ABU Road - 307026",-29795314825,,
P. P Savani Cambridge Inter..,"Railway Colony, Fatak Road, Abu Road Bazar, Abu Road - 307026",-8184357032,,
Bajrangbal Vidhya Mandir,"Luniyapura, Dhub Nagri, Abu Road Gandhi Nagar, Abu Road - 307026, Near Railway line",-9162726851,,
Aadrash Government Senior S..,"Mawal, Abu Road - 307026",-8046874043,,
Royal Rajasthan Public Scho..,"Rishikesh Road, Umarni, Abu Road - 307026",-775398725,,
Surya School,"Sadalpur, Adampur - 125052",-9419016132,http://www.suryaschoolsadalpurhisar.com/,
Shanti Niketan PUB School,"College Road Mandi Adampur Hissr 125052, Adampur - 125052",-16619219604,,
Northern International Scho..,"Mandi Adampur, Hisar, Daroli Road, Daroli, Adampur - 125052",-9497609254,http://www.nis.edu.in/,principal@nis.edu.in
Sukh Ram Memorial Public Sc..,"Vpo Kalirawan, Adampur Distt Hissar, Hissar, Haryana, Hisar, Kalirawan, Adampur - 125052",-975869280,http://www.srmpskalirawan.com/,srmpskalirawan@gmail.com
Arya High School,"Kalirawan, Adampur - 125052",-9774678040,,
Shree Peepasar Sr. Sec. Sch..,"Director Subhash Godara, Add, Khabra Road, Sadalpur, Adampur - 125052",-945827039,http://www.shreepeepasarschool.com/,Info@shreepeepasarschool.com
Monika Sr. Sec. School,"Malapur Neoli Khurd Road, Jakhod Khera, Adampur - 125052",-9442142420,,
Blooming Child School,"Ladwi Jakhod Road, Adampur - 125052",-9449059537,,
Shri Krishna Parnami School,"Sh 10, Adampur - 125052",-9421167059,,
New Adarsh Middle School Su..,"Market St, Sundawas, Adampur - 125052",-9493695292,,
Guru Dronacharya Internatio..,"Siswal Road, Bagla, Adampur - 125052",-9293925002,http://www.gdis.in/,info@inetbusinesshub.com
Government Senior Secondary..,"Sh 10, Moda Khera, Meda Khera, Adampur - 125052",-9422385895,http://www.schooleducationharyana.gov.in/,info@inetbusinesshub.com
V.M. Vishvas School,"V.m. Vishvas School, Mandi Adampur, Mandi, Adampur - 125052",-9264514445,,
Adarsh Vidya Mandir Sr. Sec..,"Durjanpur, Adampur - 125052",-9485454585,,
Bright Sun Senior Secondary..,"Mothsra, Adampur - 125052",-9244358056,,
Mothers Pride Convent Schoo..,"Sh 10, Adampur - 125052",-8625455600,,
Government  Secondary  Scho..,"Daroli, Adampur - 125052",-9425596265,,
Govt Middle School,"Mothsra, Kohli Mahalsra Road, Adampur - 125052",-8020190310,,
Aacharya Chanakya Public Sc..,"Sekhupur Daroli, Adampur - 125052",-9859908758,,
Govt. High School,"Chuli Kalan, Rajasthan, Chuli Road, Chuli Khurd, Adampur - 125052",-8648251020,http://www.schooleducationharyana.gov.in/,
Govt. Primary School Swami ..,"Adampur, Rajasthan, Adampur - 125052",-7585800752,http://education.rajasthan.gov.in/,rau_jodhpur@yahoo.co.in
Gjss School,"Model Town, Adampur - 125052",-9933516078,,
Sunrise Middle School,"Vikas Nagar, Adampur - 125052",-9868947189,,
Adarsh High School Mandi Ad..,"Vikas Nagar, Adampur - 125052",-9469228716,,
Bal Phulwari School,Adampur - 125052,-9448308482,,
Emm Aar International Schoo..,"Mainschool, Adampur - 125052",-9822394240,,
Ideal India Public School,"Lakhpul, Adampur Siswal Road, Mandi Adampur, Adampur - 125052",-9912749,,
Bal Bharti School,"Mohabatpur, Adampur - 125052",-8626549561,,
Gps Dera Banera,"Unnamed, Adampur - 125052",-8826991891,,
Govt.High School,"Fransi, Adampur - 125052",-9040593067,,
St. Josephs International S..,"Nh 10, Chikanwas, Adampur - 125052",-9272905820,http://sjis.in/,info@sjis.in
Maharaja Aggarsain Public S..,"Sirsa Road Fatehabad Hissar Haryana, Hansi, Hissar - 125052 (Also serves ADAMPUR)",-16630807594,,
Fatima Convent High School,"Guntur Colony Sirpur Kaghaznage, Sirpur Kaghaznagar, Adilabad - 504296, Near L.p.g Godow",-87370123613,,
Little Star High School,"2-1-98, Shanti Nagar, Adilabad - 504001",,,
